,drg_definition,provider_id,provider_name,provider_street_address,provider_city,provider_state,provider_zip_code,hospital_referral_region_hrr_description,total_discharges,average_covered_charges,average_total_payments,average_medicare_payments,average_consumer_payments,State,govenors_party_in_2017,state_party,total_covered_charges,total_payments,total_medicare_payments,total_consumer_payments,per capita average covered charges,per capita average total payments,per capita average medicare payments,per capita average consumer payments,per capita average covered - per capita average total payments
2008,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,AL - Birmingham,24,46275.96,18376.17,13258.46,5117.709999999999,Alabama,R,AL- R,1110623.04,441028.07999999996,318203.04,122825.03999999998,46275.96,18376.17,13258.46,5117.709999999999,27899.790000000005
2009,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,AL - Birmingham,18,40017.5,15278.67,11170.22,4108.450000000001,Alabama,R,AL- R,720315.0,275016.06,201063.96,73952.1,40017.5,15278.67,11170.22,4108.450000000001,24738.83
2736,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,AL - Tuscaloosa,17,62114.12,21563.47,17743.76,3819.7100000000028,Alabama,R,AL- R,1055940.04,366578.99,301643.92,64935.07000000005,62114.12,21563.47,17743.76,3819.7100000000028,40550.65
2870,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,AL - Mobile,19,49033.42,16603.89,15462.95,1140.9399999999987,Alabama,R,AL- R,931634.98,315473.91,293796.05,21677.859999999975,49033.42,16603.89,15462.949999999999,1140.9399999999987,32429.530000000002
2871,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,AL - Mobile,13,50261.54,13410.85,12465.62,945.2299999999996,Alabama,R,AL- R,653400.02,174341.05000000002,162053.06,12287.989999999994,50261.54,13410.850000000002,12465.619999999999,945.2299999999996,36850.689999999995
3102,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,AL - Birmingham,20,216285.0,20002.45,16972.95,3029.5,Alabama,R,AL- R,4325700.0,400049.0,339459.0,60590.0,216285.0,20002.45,16972.95,3029.5,196282.55
3103,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,AL - Birmingham,30,206043.5,16452.0,14564.0,1888.0,Alabama,R,AL- R,6181305.0,493560.0,436920.0,56640.0,206043.5,16452.0,14564.0,1888.0,189591.5
3565,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,AL - Huntsville,29,224061.38,15325.59,12617.31,2708.2800000000007,Alabama,R,AL- R,6497780.0200000005,444442.11,365901.99,78540.12000000002,224061.38,15325.59,12617.31,2708.2800000000007,208735.79
3667,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,10139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,AL - Birmingham,12,178101.33,18557.08,15602.83,2954.250000000002,Alabama,R,AL- R,2137215.96,222684.96000000002,187233.96,35451.00000000002,178101.33,18557.08,15602.83,2954.250000000002,159544.25
3668,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,10139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,AL - Birmingham,16,154969.0,14622.69,13640.94,981.75,Alabama,R,AL- R,2479504.0,233963.04,218255.04,15708.0,154969.0,14622.69,13640.94,981.75,140346.31
3898,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,GA - Columbus,31,63268.06,18603.48,17415.32,1188.1599999999999,Alabama,R,AL- R,1961309.8599999999,576707.88,539874.92,36832.95999999999,63268.06,18603.48,17415.32,1188.1599999999996,44664.58
3899,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,GA - Columbus,32,50605.66,17877.44,11396.81,6480.629999999999,Alabama,R,AL- R,1619381.12,572078.08,364697.92,207380.15999999997,50605.66,17877.44,11396.81,6480.629999999999,32728.220000000005
3982,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,18,103758.17,30252.17,29079.28,1172.8899999999994,Alaska,I,AK- I,1867647.06,544539.0599999999,523427.04,21112.01999999999,103758.17,30252.17,29079.28,1172.8899999999994,73506.0
3983,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,AK - Anchorage,22,76548.86,25171.14,24020.05,1151.0900000000001,Alaska,I,AK- I,1684074.92,553765.08,528441.1,25323.980000000003,76548.86,25171.14,24020.05,1151.0900000000001,51377.719999999994
4109,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,AK - Anchorage,18,151476.33,28566.33,27696.78,869.5500000000029,Alaska,I,AK- I,2726573.94,514193.94000000006,498542.04,15651.900000000052,151476.33,28566.33,27696.78,869.5500000000029,122910.0
4110,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,AK - Anchorage,21,110067.29,25239.05,20267.95,4971.0999999999985,Alaska,I,AK- I,2311413.09,530020.0499999999,425626.95,104393.09999999998,110067.29,25239.049999999996,20267.95,4971.0999999999985,84828.24
4282,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,AZ - Phoenix,18,105234.0,26511.94,24675.89,1836.0499999999993,Arizona,R,AZ- R,1894212.0,477214.92,444166.02,33048.89999999999,105234.0,26511.94,24675.89,1836.0499999999993,78722.06
4283,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,AZ - Phoenix,14,77847.93,20631.29,19695.29,936.0,Arizona,R,AZ- R,1089871.02,288838.06,275734.06,13104.0,77847.93000000001,20631.29,19695.29,936.0,57216.64
4432,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,AZ - Tucson,19,57089.0,24877.21,22193.89,2683.3199999999997,Arizona,R,AZ- R,1084691.0,472666.99,421683.91,50983.079999999994,57089.0,24877.21,22193.89,2683.3199999999997,32211.79
4433,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,AZ - Tucson,30,46579.2,20048.97,18135.37,1913.6000000000022,Arizona,R,AZ- R,1397376.0,601469.1000000001,544061.1,57408.000000000065,46579.2,20048.970000000005,18135.37,1913.6000000000022,26530.229999999996
4650,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,30011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,AZ - Tucson,14,72756.14,18408.21,17192.21,1216.0,Arizona,R,AZ- R,1018585.96,257714.94,240690.94,17024.0,72756.14,18408.21,17192.21,1216.0,54347.93
4745,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,AZ - Phoenix,11,84040.64,18519.09,17205.36,1313.7299999999996,Arizona,R,AZ- R,924447.04,203709.99,189258.96000000002,14451.029999999995,84040.64,18519.09,17205.36,1313.7299999999996,65521.55
5044,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,AZ - Phoenix,17,78905.88,39157.18,35032.65,4124.529999999999,Arizona,R,AZ- R,1341399.96,665672.06,595555.05,70117.00999999998,78905.88,39157.18,35032.65,4124.529999999999,39748.7
5045,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,AZ - Phoenix,23,45351.09,30752.13,29560.3,1191.8300000000017,Arizona,R,AZ- R,1043075.07,707298.99,679886.9,27412.09000000004,45351.09,30752.13,29560.3,1191.8300000000017,14598.959999999997
5397,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,30037,ST LUKE'S MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006,AZ - Phoenix,37,103013.43,23869.73,21948.81,1920.9199999999983,Arizona,R,AZ- R,3811496.9099999997,883180.01,812105.9700000001,71074.03999999994,103013.43,23869.73,21948.81,1920.9199999999983,79143.69999999998
5477,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,30038,SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,AZ - Phoenix,16,156980.5,22661.19,21843.94,817.25,Arizona,R,AZ- R,2511688.0,362579.04,349503.04,13076.0,156980.5,22661.19,21843.94,817.25,134319.31
5478,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,30038,SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,AZ - Phoenix,24,119942.04,18428.29,17284.96,1143.3300000000017,Arizona,R,AZ- R,2878608.96,442278.96,414839.04,27439.920000000042,119942.04,18428.29,17284.96,1143.3300000000017,101513.75
5696,466 - REVISION OF HIP OR KNEE REPLACEMENT W MCC,30061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351,AZ - Sun City,14,141745.36,30610.79,25141.57,5469.220000000001,Arizona,R,AZ- R,1984435.0399999998,428551.06,351981.98,76569.08000000002,141745.36,30610.79,25141.57,5469.220000000001,111134.56999999998
5697,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,30061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351,AZ - Sun City,25,98527.84,21465.72,20339.4,1126.3199999999997,Arizona,R,AZ- R,2463196.0,536643.0,508485.00000000006,28157.999999999993,98527.84,21465.72,20339.4,1126.3199999999997,77062.12
5698,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,30061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351,AZ - Sun City,11,70282.82,17655.64,16450.36,1205.2799999999988,Arizona,R,AZ- R,773111.02,194212.03999999998,180953.96000000002,13258.079999999987,70282.82,17655.64,16450.36,1205.2799999999988,52627.18
6059,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,30069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CITY,AZ,86403,AZ - Phoenix,13,157242.38,23214.54,22409.08,805.4599999999991,Arizona,R,AZ- R,2044150.94,301789.02,291318.04000000004,10470.979999999989,157242.38,23214.54,22409.08,805.4599999999991,134027.84
6207,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741,AZ - Tucson,33,89676.82,19740.06,15319.45,4420.610000000001,Arizona,R,AZ- R,2959335.06,651421.9800000001,505541.85000000003,145880.13,89676.82,19740.06,15319.45,4420.610000000001,69936.76000000001
6440,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,30088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,AZ - Mesa,20,99586.85,21112.85,20263.05,849.7999999999993,Arizona,R,AZ- R,1991737.0,422257.0,405261.0,16995.999999999985,99586.85,21112.85,20263.05,849.7999999999993,78474.0
6441,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,30088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,AZ - Mesa,11,84951.82,17943.64,16869.45,1074.1899999999987,Arizona,R,AZ- R,934470.02,197380.03999999998,185563.95,11816.089999999986,84951.82,17943.64,16869.45,1074.1899999999987,67008.18
6695,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,30093,BANNER DEL E. WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375,AZ - Sun City,20,117632.4,21796.6,20811.0,985.5999999999985,Arizona,R,AZ- R,2352648.0,435932.0,416220.0,19711.99999999997,117632.4,21796.6,20811.0,985.5999999999985,95835.8
6696,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,30093,BANNER DEL E. WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375,AZ - Sun City,28,79210.0,17636.43,16560.36,1076.0699999999997,Arizona,R,AZ- R,2217880.0,493820.04000000004,463690.08,30129.959999999992,79210.0,17636.43,16560.36,1076.0699999999997,61573.57
6799,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,30094,ABRAZO ARROWHEAD CAMPUS,18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308,AZ - Phoenix,13,85368.23,19049.46,17942.38,1107.079999999998,Arizona,R,AZ- R,1109786.99,247642.97999999998,233250.94,14392.039999999975,85368.23,19049.46,17942.38,1107.079999999998,66318.77
6973,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,30103,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,AZ,85054,AZ - Phoenix,69,77905.72,26882.38,21968.35,4914.0300000000025,Arizona,R,AZ- R,5375494.68,1854884.22,1515816.15,339068.0700000002,77905.72,26882.38,21968.35,4914.0300000000025,51023.34
7177,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,30112,ARIZONA SPECIALTY HOSPITAL,"2905 WEST WARNER ROAD, SUITE 1",CHANDLER,AZ,85224,AZ - Mesa,19,88484.68,16113.11,15220.05,893.0600000000013,Arizona,R,AZ- R,1681208.92,306149.09,289180.95,16968.140000000025,88484.68,16113.11,15220.050000000001,893.0600000000013,72371.56999999999
7218,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,30114,ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD,ORO VALLEY,AZ,85755,AZ - Tucson,19,174827.05,23113.95,20857.42,2256.5300000000025,Arizona,R,AZ- R,3321713.9499999997,439165.05,396290.98,42874.07000000005,174827.05,23113.95,20857.42,2256.5300000000025,151713.1
7219,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,30114,ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD,ORO VALLEY,AZ,85755,AZ - Tucson,39,149028.69,17350.79,16240.85,1109.9400000000005,Arizona,R,AZ- R,5812118.91,676680.81,633393.15,43287.66000000002,149028.69,17350.79,16240.85,1109.9400000000005,131677.9
7273,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,30115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,AZ - Phoenix,11,107440.36,25024.55,24189.64,834.9099999999999,Arizona,R,AZ- R,1181843.96,275270.05,266086.04,9184.009999999998,107440.36,25024.55,24189.64,834.9099999999999,82415.81
7360,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,30119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ,85296,AZ - Mesa,11,175274.45,23902.73,22950.73,952.0,Arizona,R,AZ- R,1928018.9500000002,262930.02999999997,252458.03,10472.0,175274.45,23902.729999999996,22950.73,952.0,151371.72
7411,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,AZ,85209,AZ - Mesa,14,94498.79,21423.86,16708.07,4715.790000000001,Arizona,R,AZ- R,1322983.0599999998,299934.04000000004,233912.97999999998,66021.06000000001,94498.79,21423.860000000004,16708.07,4715.790000000001,73074.92999999998
7519,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,30123,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,7400 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,AZ,85255,AZ - Phoenix,28,144432.89,17448.46,16341.18,1107.2799999999988,Arizona,R,AZ- R,4044120.9200000004,488556.88,457553.04000000004,31003.839999999967,144432.89,17448.46,16341.180000000002,1107.2799999999988,126984.43000000002
7559,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,30131,O.A.S.I.S. HOSPITAL,750 NORTH 40TH STREET,PHOENIX,AZ,85008,AZ - Phoenix,24,76855.04,20503.12,19420.46,1082.6599999999999,Arizona,R,AZ- R,1844520.96,492074.88,466091.04,25983.839999999997,76855.04,20503.12,19420.46,1082.6599999999999,56351.920000000006
7560,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,30131,O.A.S.I.S. HOSPITAL,750 NORTH 40TH STREET,PHOENIX,AZ,85008,AZ - Phoenix,79,77618.27,18468.84,16072.3,2396.540000000001,Arizona,R,AZ- R,6131843.33,1459038.36,1269711.7,189326.66000000006,77618.27,18468.84,16072.3,2396.540000000001,59149.43
7706,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,40004,WASHINGTON REGIONAL MEDICAL CENTER,3215 N NORTH HILLS BOULEVARD,FAYETTEVILLE,AR,72703,AR - Springdale,13,58068.92,17591.31,12764.62,4826.6900000000005,Arkansas,R,AR- R,754895.96,228687.03000000003,165940.06,62746.97000000001,58068.92,17591.31,12764.619999999999,4826.6900000000005,40477.60999999999
7874,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,40007,CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,AR - Little Rock,14,111263.57,21049.36,20000.36,1049.0,Arkansas,R,AR- R,1557689.98,294691.04000000004,280005.04000000004,14686.0,111263.56999999999,21049.360000000004,20000.360000000004,1049.0,90214.20999999999
7875,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,40007,CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,AR - Little Rock,31,84338.81,15834.23,13697.13,2137.1000000000004,Arkansas,R,AR- R,2614503.11,490861.13,424611.02999999997,66250.1,84338.81,15834.23,13697.13,2137.1000000000004,68504.58
8247,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,40016,UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,AR,72205,AR - Little Rock,60,57838.42,24859.98,22690.3,2169.6800000000003,Arkansas,R,AR- R,3470305.1999999997,1491598.8,1361418.0,130180.80000000002,57838.42,24859.98,22690.3,2169.6800000000003,32978.439999999995
8248,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,40016,UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,AR,72205,AR - Little Rock,126,45936.12,20334.78,18319.9,2014.8799999999974,Arkansas,R,AR- R,5787951.12,2562182.28,2308307.4000000004,253874.87999999966,45936.12,20334.78,18319.9,2014.8799999999972,25601.340000000004
8631,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,40026,CHI ST. VINCENT HOSPITAL HOT SPRINGS,300 WERNER STREET,HOT SPRINGS,AR,71903,AR - Little Rock,17,67494.47,18758.47,17990.94,767.5300000000025,Arkansas,R,AR- R,1147405.99,318893.99,305845.98,13048.010000000042,67494.47,18758.47,17990.94,767.5300000000025,48736.0
9229,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,40062,MERCY HOSPITAL FORT SMITH,7301 ROGERS AVE,FORT SMITH,AR,72917,AR - Fort Smith,27,39932.7,18612.3,17741.19,871.1100000000006,Arkansas,R,AR- R,1078182.9,502532.1,479012.12999999995,23519.970000000016,39932.7,18612.3,17741.19,871.1100000000006,21320.399999999998
9704,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,"9601 INTERSTATE 630, EXIT 7",LITTLE ROCK,AR,72205,AR - Little Rock,15,64202.8,19929.53,15482.0,4447.529999999999,Arkansas,R,AR- R,963042.0,298942.94999999995,232230.0,66712.94999999998,64202.8,19929.529999999995,15482.0,4447.529999999999,44273.270000000004
9705,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,"9601 INTERSTATE 630, EXIT 7",LITTLE ROCK,AR,72205,AR - Little Rock,16,51132.12,16628.19,13277.44,3350.749999999998,Arkansas,R,AR- R,818113.92,266051.04,212439.04,53611.99999999997,51132.12,16628.19,13277.44,3350.749999999998,34503.93000000001
10032,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,40147,ARKANSAS SURGICAL HOSPITAL,5201 NORTH SHORE DRIVE,NO LITTLE ROCK,AR,72118,AR - Little Rock,19,79532.47,18082.53,15834.37,2248.159999999998,Arkansas,R,AR- R,1511116.93,343568.06999999995,300853.03,42715.039999999964,79532.47,18082.53,15834.37,2248.159999999998,61449.939999999995
10033,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,40147,ARKANSAS SURGICAL HOSPITAL,5201 NORTH SHORE DRIVE,NO LITTLE ROCK,AR,72118,AR - Little Rock,37,68611.62,15233.89,12577.03,2656.8599999999988,Arkansas,R,AR- R,2538629.94,563653.9299999999,465350.11000000004,98303.81999999995,68611.62,15233.889999999998,12577.03,2656.8599999999988,53377.73
10043,468 - REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,40152,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,3873 NORTH PARKVIEW DRIVE,FAYETTEVILLE,AR,72703,AR - Springdale,12,122076.0,28744.83,27652.83,1092.0,Arkansas,R,AR- R,1464912.0,344937.96,331833.96,13104.0,122076.0,28744.83,27652.83,1092.0,93331.17
